date,close,open,high,low
09/11/2022,5.038,5.038,5.038,5.038
08/11/2022,5.039,5.039,5.039,5.039
07/11/2022,5.047,5.047,5.047,5.047
04/11/2022,5.039,5.039,5.039,5.039
03/11/2022,5.03,5.03,5.03,5.03
02/11/2022,5.03,5.03,5.03,5.03
01/11/2022,5.016,5.016,5.016,5.016
31/10/2022,5.014,5.014,5.014,5.014
28/10/2022,5.009,5.009,5.009,5.009
27/10/2022,5.014,5.014,5.014,5.014
26/10/2022,4.991,4.991,4.991,4.991
25/10/2022,4.977,4.977,4.977,4.977
24/10/2022,4.927,4.927,4.927,4.927
21/10/2022,4.927,4.927,4.927,4.927
20/10/2022,4.905,4.885,4.905,4.885
19/10/2022,4.871,4.891,4.891,4.871
18/10/2022,4.909,4.909,4.909,4.909
17/10/2022,4.974,4.974,4.974,4.974
14/10/2022,4.978,4.978,4.978,4.978
13/10/2022,4.987,4.987,4.987,4.987
12/10/2022,4.992,4.992,4.992,4.992
11/10/2022,4.956,4.956,4.956,4.956
10/10/2022,4.974,4.974,4.974,4.974
07/10/2022,4.95,4.95,4.95,4.95
06/10/2022,4.95,4.95,4.95,4.95
05/10/2022,4.934,4.934,4.934,4.934
04/10/2022,4.899,4.899,4.899,4.899
03/10/2022,4.706,4.667,4.706,4.667
30/09/2022,4.706,4.667,4.706,4.667
29/09/2022,4.667,4.667,4.667,4.667
28/09/2022,4.684,4.684,4.684,4.684
27/09/2022,4.6,4.6,4.6,4.6
26/09/2022,4.313,4.313,4.313,4.313
23/09/2022,4.286,4.286,4.286,4.286
22/09/2022,4.145,4.145,4.145,4.145
21/09/2022,3.848,3.848,3.848,3.848
20/09/2022,3.356,3.356,3.356,3.356
19/09/2022,3.303,3.303,3.303,3.303
16/09/2022,3.286,3.286,3.286,3.286
15/09/2022,3.242,3.242,3.242,3.242
14/09/2022,3.244,3.244,3.244,3.244
13/09/2022,3.22,3.22,3.22,3.22
12/09/2022,3.22,3.22,3.22,3.22
09/09/2022,3.235,3.22,3.22,3.22
08/09/2022,3.244,3.244,3.244,3.244
07/09/2022,3.262,3.262,3.262,3.262
06/09/2022,3.26,3.26,3.26,3.26
05/09/2022,3.257,3.257,3.257,3.257
02/09/2022,3.181,3.181,3.181,3.181
01/09/2022,3.181,3.181,3.181,3.181
31/08/2022,3.231,3.218,3.231,3.217
30/08/2022,3.218,3.218,3.218,3.218
29/08/2022,3.217,3.217,3.217,3.217
26/08/2022,3.192,3.192,3.192,3.192
25/08/2022,3.191,3.191,3.191,3.191
24/08/2022,3.186,3.191,3.191,3.191
23/08/2022,3.163,3.163,3.163,3.163
22/08/2022,3.144,3.144,3.144,3.144
19/08/2022,3.131,3.131,3.131,3.131
18/08/2022,3.123,3.123,3.123,3.123
17/08/2022,3.109,3.109,3.109,3.109
16/08/2022,3.099,3.099,3.099,3.099
15/08/2022,3.119,3.119,3.119,3.119
12/08/2022,3.123,3.123,3.123,3.123
11/08/2022,3.126,3.126,3.126,3.126
10/08/2022,3.234,3.234,3.234,3.234
09/08/2022,3.255,3.255,3.255,3.255
08/08/2022,3.209,3.209,3.209,3.209
05/08/2022,3.209,3.209,3.209,3.209
04/08/2022,3.169,3.169,3.169,3.169
03/08/2022,3.158,3.158,3.158,3.158
02/08/2022,3.143,3.143,3.143,3.143
01/08/2022,3.181,3.181,3.181,3.181
29/07/2022,3.178,3.178,3.178,3.178
28/07/2022,3.029,3.029,3.029,3.029
27/07/2022,3.401,3.401,3.401,3.401
26/07/2022,2.991,2.991,2.991,2.991
25/07/2022,2.899,2.899,2.899,2.899
22/07/2022,2.841,2.841,2.841,2.841
21/07/2022,2.767,2.767,2.767,2.767
20/07/2022,2.748,2.748,2.748,2.748
19/07/2022,2.757,2.757,2.757,2.757
18/07/2022,2.572,2.572,2.572,2.572
15/07/2022,2.495,2.495,2.495,2.495
14/07/2022,2.481,2.481,2.481,2.481
13/07/2022,2.456,2.456,2.456,2.456
12/07/2022,2.451,2.451,2.451,2.451
11/07/2022,2.453,2.453,2.453,2.453
08/07/2022,2.455,2.455,2.455,2.455
07/07/2022,2.429,2.429,2.429,2.429
06/07/2022,2.447,2.447,2.447,2.447
05/07/2022,2.45,2.45,2.45,2.45
04/07/2022,2.445,2.445,2.445,2.445
01/07/2022,2.427,2.426,2.427,2.426
30/06/2022,2.393,2.393,2.393,2.393
29/06/2022,2.412,2.412,2.412,2.412
28/06/2022,2.38,2.38,2.38,2.38
27/06/2022,2.313,2.313,2.313,2.313
24/06/2022,2.304,2.294,2.304,2.294
23/06/2022,2.294,2.294,2.294,2.294
22/06/2022,2.304,2.304,2.304,2.304
21/06/2022,2.315,2.315,2.315,2.315
20/06/2022,2.315,2.315,2.315,2.315
17/06/2022,2.286,2.286,2.286,2.286
16/06/2022,2.326,2.326,2.326,2.326
15/06/2022,2.346,2.346,2.346,2.346
14/06/2022,2.288,2.288,2.288,2.288
13/06/2022,2.208,2.208,2.208,2.208
10/06/2022,2.178,2.178,2.178,2.178
09/06/2022,2.179,2.179,2.179,2.179
08/06/2022,2.189,2.189,2.189,2.189
07/06/2022,2.209,2.209,2.209,2.209
06/06/2022,2.17,2.17,2.17,2.17
03/06/2022,2.222,2.222,2.222,2.222
02/06/2022,2.201,2.201,2.201,2.201
01/06/2022,2.211,2.211,2.211,2.211
31/05/2022,2.221,2.221,2.221,2.221
30/05/2022,2.212,2.212,2.212,2.212
27/05/2022,2.232,2.232,2.232,2.232
26/05/2022,2.243,2.243,2.243,2.243
25/05/2022,2.223,2.223,2.223,2.223
24/05/2022,2.234,2.234,2.234,2.234
23/05/2022,2.254,2.254,2.254,2.254
